,title,description,stars,price,price_discount,reviews,url
229,Parque de vacaciones en San José de Maipo,Casa AcadioTemazcal,4.98,163520,,88,https://www.airbnb.cl/rooms/53218364?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-13&check_out=2023-05-18&previous_page_section_name=1000&federated_search_id=c7b0e6de-b71f-483c-a246-99d1db80e463
19,Alojamiento en Santiago,Vista despejada y desconexion total,4.74,131424,144831.0,130,https://www.airbnb.cl/rooms/42754934?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
126,Alojamiento en Santiago,Casa en la montaña con vistas únicas.,4.79,126328,,164,https://www.airbnb.cl/rooms/36178636?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=c20acdb6-145f-40af-8e52-fefdd909d40d
128,Domo en El Canelo,"Montaña, tranquilidad y desconexión",4.8,125560,143060.0,55,https://www.airbnb.cl/rooms/560881702092137700?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=c20acdb6-145f-40af-8e52-fefdd909d40d
248,Cabaña en San José de Maipo,Cabaña Andes,4.96,123411,135511.0,157,https://www.airbnb.cl/rooms/36488330?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=eaba0a69-d990-4191-9c25-9972d1573de9
146,Cabaña en Lo Barnechea,Casa Camino Farellones,4.78,123060,137418.0,73,https://www.airbnb.cl/rooms/37725534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=a5572f72-74a2-4391-8a4a-52a840e5a014
192,Cabaña en Lo Barnechea,Iluminada casa de piedra entre bosque y río,4.93,122976,142309.0,143,https://www.airbnb.cl/rooms/19962001?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=a0c2cd39-205b-43fc-b92f-c332a1357bbc
99,Cabaña en Lo Barnechea,"Casa Ñilhue, Camino a la Farellones",4.84,122296,,73,https://www.airbnb.cl/rooms/34978926?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=1452d6b4-ddeb-4f95-bd8a-b38467c49829
254,Apartamento en Las Condes,Aparthotel Premium con Terraza,4.78,104994,,383,https://www.airbnb.cl/rooms/51451256?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=79869056-adaa-4467-bd8c-e6aaa9de106a
113,Alojamiento vacacional en San José de Maipo,Lodge de montaña Faldas del Punta Dama.,5.0,99370,118720.0,23,https://www.airbnb.cl/rooms/757178747252481583?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=3ef195f2-9bf3-44bb-9334-be6b40084cd1
