,title,description,stars,price,price_discount,reviews,url
0,Apartamento en Estación Central,Departamento equipado 1611 Cerca de Metro,4.45,21955,,58,https://www.airbnb.cl/rooms/546974810110970015?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
1,Habitación en Quinta Normal,Pieza con baño privado y salida independiente.,4.85,15034,,211,https://www.airbnb.cl/rooms/36858581?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-15&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
2,Cabaña en Santiago,Cabaña con Jacuzzi para 2 piscina Cajón del Maipo,4.97,83477,,61,https://www.airbnb.cl/rooms/719669611197414706?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
3,Casa de huéspedes en Pirque,Casita de campo en Pirque,5.0,40239,49396.0,16,https://www.airbnb.cl/rooms/836241418462517633?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-28&check_out=2023-06-04&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
4,Loft en Las Condes,Alma-Loft/ nuevo y moderno departamento de 2 pisos,4.86,80805,,36,https://www.airbnb.cl/rooms/701873893538295232?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
5,Apartamento en Santiago,"Moderno y cómodo Depto, central seguro, lado metro",4.52,27704,30783.0,29,https://www.airbnb.cl/rooms/744136728294296532?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
6,Condo en San Miguel,Comodo departamento en  San Miguel.,4.93,39245,,377,https://www.airbnb.cl/rooms/46656145?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
7,Habitación en Ñuñoa,Linda habitación 1.5 plazas en Ñuñoa - Providencia,4.83,24528,,90,https://www.airbnb.cl/rooms/22863700?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
8,Habitación en Santiago,"Habitación ""Jardines Vicuña Mackenna""",4.89,17621,,19,https://www.airbnb.cl/rooms/52742913?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
9,Habitación en Santiago,Habitación privada  junto a Movistar Arena,4.93,30199,33994.0,29,https://www.airbnb.cl/rooms/739045217810814434?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
10,Condo en Santiago,"★La mejor ubicación ★Central, hermoso, renovado",4.89,35111,48009.0,238,https://www.airbnb.cl/rooms/plus/29181740?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
11,Apartamento en Recoleta,Parque forestal con piscina y vista,4.71,35678,38945.0,249,https://www.airbnb.cl/rooms/11183941?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
12,Apartamento en Santiago,Vista Bellas Artes (Departamento entero Santiago),4.88,41313,58897.0,16,https://www.airbnb.cl/rooms/787170823074364367?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
13,Apartamento en Santiago,"Lindo departamento, a pasos del metro las rejas",0.0,29200,,5,https://www.airbnb.cl/rooms/870213549798778061?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-06&check_out=2023-05-11&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
14,Condo en Providencia,Acogedor departamento a pasos de metro 1d 1b,4.81,57232,,177,https://www.airbnb.cl/rooms/53572443?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
15,Apartamento en Las Condes,Un dormitorio - El Golf - Aparthotel,4.74,84676,103264.0,870,https://www.airbnb.cl/rooms/20710229?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
16,Apartamento en Estación Central,Apartamento en Santiago Centro,4.67,26713,,3,https://www.airbnb.cl/rooms/868201605435476983?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-14&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
17,Apartamento en Santiago,Hermoso y cómodo c/Estacionamiento incluido. 318,4.71,48855,,205,https://www.airbnb.cl/rooms/36567305?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=5325a411-4c20-4eb9-8634-82a2d1537eeb
18,Apartamento en Santiago,Vista Bellas Artes (Departamento entero Santiago),4.88,41313,58897.0,16,https://www.airbnb.cl/rooms/787170823074364367?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
19,Alojamiento en Santiago,Vista despejada y desconexion total,4.74,131424,144831.0,130,https://www.airbnb.cl/rooms/42754934?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
20,Apartamento en Santiago,Nuevo y completamente amueblado Santa Lucía Hill 43TV 89,4.77,31097,39268.0,86,https://www.airbnb.cl/rooms/45068643?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-12&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
21,Apartamento en Estación Central,Departamento Equipado 316,4.62,24499,28572.0,79,https://www.airbnb.cl/rooms/53294847?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=21ef361a-1371-480f-9322-97c31b361dc3
